"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";500000;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500020;71;0;5;16;55;4;10;18;8;15;51;20;6;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
2016;"MUNICIPIO";500025;15;0;1;3;12;1;1;4;4;2;8;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500060;270;0;46;41;229;19;32;72;29;77;145;125;30;0;4;2;2;9;1;1;0;0;2;1;1;0;0;0;0;1;1;1;0;0;0;0;0
2016;"MUNICIPIO";500070;159;0;8;13;146;4;23;49;33;37;87;72;5;0;4;2;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500080;47;0;4;3;44;2;6;19;4;13;29;18;5;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";500085;68;0;5;9;59;1;13;23;8;14;44;24;4;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500090;70;0;8;11;59;0;10;17;8;24;46;24;6;0;3;2;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500100;158;0;10;25;133;5;20;52;28;28;93;65;7;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500110;337;0;29;34;303;10;32;120;60;81;201;136;17;0;2;1;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500124;58;0;4;6;52;2;11;13;6;20;41;17;2;0;3;2;1;0;2;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
2016;"MUNICIPIO";500150;45;0;4;8;37;1;6;13;5;12;25;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500190;117;0;10;20;97;5;18;47;15;12;71;46;8;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500200;82;0;7;9;73;3;11;33;6;20;47;35;6;0;2;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500210;145;0;18;14;131;6;20;53;12;40;78;67;13;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500215;55;0;4;6;49;0;9;13;9;18;29;26;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500220;135;0;6;12;123;4;19;37;15;48;NA;NA;5;0;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500230;78;0;5;6;72;2;19;21;7;23;47;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500240;198;0;13;32;166;8;27;59;31;41;115;83;7;0;4;3;1;3;3;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";500260;98;0;5;19;79;2;15;24;17;21;57;41;6;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500270;5464;0;307;589;4875;212;997;1619;834;1213;3117;2347;284;0;64;43;21;47;35;0;1;28;0;7;2;0;0;4;1;6;5;0;1;3;1;1;0
2016;"MUNICIPIO";500280;38;0;2;5;33;3;6;16;4;4;26;12;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500290;190;0;17;17;173;7;39;56;30;41;114;76;11;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500295;83;0;10;14;69;3;11;29;6;20;49;34;9;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500310;25;0;1;3;22;0;4;8;7;3;17;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500315;120;0;11;27;93;8;20;32;7;26;77;43;9;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500320;689;0;50;65;624;29;87;199;97;212;381;308;42;0;15;10;5;8;3;0;0;12;0;3;1;0;0;2;0;3;3;0;0;1;2;0;0
2016;"MUNICIPIO";500325;126;0;9;18;108;5;29;26;23;25;82;44;9;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500330;244;0;13;28;216;13;53;72;33;45;155;89;13;0;2;2;0;1;2;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";500345;84;0;7;9;75;1;20;31;8;15;45;39;3;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500348;45;0;3;9;36;1;4;19;8;4;32;13;3;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500350;32;0;4;6;26;1;4;9;2;10;18;14;4;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500370;1386;0;182;213;1173;58;254;383;156;322;816;570;82;0;22;17;5;22;9;0;0;7;6;4;0;0;0;4;0;4;4;0;0;2;1;0;1
2016;"MUNICIPIO";500375;81;0;3;7;74;3;9;30;12;20;51;30;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500380;149;0;19;20;129;6;20;53;14;36;87;62;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500390;13;0;2;3;10;1;1;2;4;2;8;5;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500400;72;0;4;10;62;2;9;29;10;12;45;27;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500410;81;0;5;12;69;4;13;14;12;26;46;35;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500430;108;0;9;11;97;4;10;42;12;29;67;41;6;0;3;1;2;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500440;42;0;2;9;33;0;7;11;2;13;31;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500450;134;0;10;10;124;7;26;31;16;44;76;58;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500460;105;0;9;18;87;3;15;34;6;29;61;44;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500470;189;0;8;20;169;6;17;61;28;57;123;66;3;0;5;4;1;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500480;58;0;1;19;39;4;7;13;5;10;43;15;1;0;1;1;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500490;33;0;0;3;30;0;5;13;5;7;24;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500500;196;0;10;15;181;1;30;73;23;54;119;77;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500510;25;0;3;1;24;0;9;5;6;4;12;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500515;48;0;8;6;42;1;9;14;4;14;28;20;5;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";500520;117;0;6;17;100;1;12;41;15;31;70;47;6;0;4;4;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
